TOR2	P32600
LOS1	P33418
UBA1	P22515
PAP1	P41815
ECM9	Q02202
RSC4	Q02206
NTR2	P36118
RPC37	P36121
SPC34	P36131
KAE1	P36132
TFA2	P36145
LAS1	P36146
BET3	P36149
DRE2	P36152
TRZ1	P36159
RPF2	P36160
DAD2	P36162
PRP16	P15938
SFI1	Q12369
ORC3	P54790
DRS1	P32892
SOF1	P33750
DPS1	P04802
GPI13	Q07830
RIX7	Q07844
GRC3	Q07845
PRP19	P32523
COF1	Q03048
NOC3	Q07896
SSL1	Q04673
NSE1	Q07913
PAM18	Q07914
RLP24	Q07915
TEN1	Q07921
GAT3	Q07928
SDO1	Q07953
SED5	Q01590
RPL15A	P0CX54
RSC58	Q07979
STU2	P46675
FCF2	Q12035
REX2	P54964
FRS1	P15624
SPC3	Q12133
RGR1	P19263
RPL10	P41805
BOS1	P25385
SMC4	Q12267
GAA1	P39012
HRT3	Q12347
YLR099W-A	Q3E798
ERG27	Q12452
CDC45	Q08032
SEN2	P16658
MDN1	Q12019
CFT2	Q12102
MSL5	Q12186
CLF1	Q12309
APC2	Q12440
DIP2	Q12220
YLR132C	Q12208
RRN5	Q02983
RMP1	Q12530
SMD3	P43321
ACS2	P52910
MAS1	P10507
SEC10	Q06245
RPS31	P0C0T4
CBF5	P33322
EMG1	Q06287
NMT1	P14743
PWP1	P21304
SEC13	Q04491
TUB4	P53378
CDC123	Q05791
CCC1	P47818
UTP13	Q05946
IFH1	P39520
CDC42	P19073
YLR243W	Q06543
YEF3	P16521
HSP60	P19882
YCS4	Q06156
MCM5	P29496
SMD2	Q06217
DBP9	Q06218
YSH1	Q06224
GCD7	P32502
YHC1	Q05900
STT4	P37297
CDC25	P04821
CDC3	P32457
TAD3	Q9URQ3
SFH1	Q06168
CWC24	P53769
SGD1	Q06132
RPP0	P05317
KAP95	Q06142
ILV5	P06168
ADE13	Q05911
STP3	Q05937
SEC61	P32915
AFG2	P32794
SFP1	P32432
UTP21	Q06078
