AT3G21810	Q93XW7
AT3G22170	Q9LIE5
AT3G23660	Q9LUG1
AT3G24000	Q9LIQ7
AT3G24090	Q9LIP9
AT3G24350	Q9LK09
AT3G24515	Q941B6
AT3G24730	Q6NMD4
AT3G25060	Q9LJR6
AT3G25580	Q9LSU4
AT3G26730	A0A1I9LNI8
AT3G27000	Q9LSD6
AT3G27120	F4JEX5
AT3G27310	Q9LK22
AT3G27420	Q8VY55
AT3G27520	Q8LF87
AT3G27930	A0A384LHR4
AT3G28620	Q9LJJ3
AT3G29170	Q9LVP2
AT3G29330	Q6E238
AT3G32940	Q0WVW4
AT3G43210	Q8LNZ2
AT3G43440	Q9M246
AT3G43610	A0A1I9LLJ4
AT3G43700	A1L4W5
AT3G44110	Q94AW8
AT3G44850	Q9FYC5
AT3G45020	A0A654FCV9
AT3G45590	Q9M1E8
AT3G45740	Q9M169
AT3G46460	Q42541
AT3G47060	Q9SD67
AT3G48160	Q8LSZ4
AT3G48810	Q9M302
AT3G49420	Q9SCL4
AT3G49600	Q9SCJ9
AT3G49600	Q9SCJ9
AT3G49660	Q9M2Z2
AT3G49725	Q0WTB4
AT3G49850	Q9M2X3
AT3G50050	Q9SN13
AT3G50080	Q9SN10
AT3G51040	Q9SD42
AT3G51110	F4J390
AT3G51530	Q501E9
AT3G51620	F4J4G3
AT3G52030	Q9SV01
AT3G52115	Q9ZRT1
AT3G52120	Q94C11
AT3G52260	Q5M721
AT3G53090	Q9SCQ2
AT3G53320	Q9LFI5
AT3G53360	Q9LFI1
AT3G53390	F4JAE0
AT3G53570	P51566
AT3G53810	Q9M345
AT3G53970	Q9M330
AT3G54300	Q9M376
AT3G55320	Q9M3B9
AT3G55640	Q9M058
AT3G56720	C0Z252
AT3G56860	Q9LES2
AT3G57580	Q6ICX6
AT3G58580	Q9M2F8
AT3G59360	Q9C5H6
AT3G59470	Q93Z68
AT3G59490	Q6NM84
AT3G59500	A0A384KJM4
AT3G59800	Q9M1Z4
AT3G59970	Q9SE60
AT3G60110	Q93ZQ2
AT3G60240	Q76E23
