l(2)gl	P08111
CG31688	B7YZX9
CG2493	Q9VIM0
CG2608	Q9VIL2
CG2611	Q9VIL1
CG2478	Q9VIL0
CG31678	B7YZY0
ik2	Q9V3Y8
CG1962	Q9VIK6
CG9318	Q9VIK1
Fs(2)Ket	O18388
CG9319	Q9VIK0
CG9320	Q9VIJ9
CG9323	Q8SWT2
dia	P48608
Pomp	Q9VIJ5
vari	A1XXK2
CG9328	Q8T9H0
CG9331	Q9VIJ0
CG31673	Q9VII9
CG9336	Q9VII1
CG9338	Q9VIH9
CG9339	Q9VIH7
Mtp	Q9VIH3
RPA2	P08570
CG12050	Q9VIG1
CG9257	Q9VIG0
Nhe2	Q9VIF9
Dap160	Q1WWC9
CG9253	Q9VIF6
E2f2	O77051
Mpp6	Q95PE4
CG9249	Q5BIB9
CG9248	Q9VIF2
CG9247	Q9VIF1
CG9243	M9NEW0
Acon	Q9VIE8
bur	Q9VIE7
CG8678	Q9VIE1
CG8677	Q9VID9
Hr39	Q05192
l(2)k14505	Q9VID7
CG8671	A2VEG3
Mio	Q8INT6
crc	Q53YH3
nrv3	Q7JS69
CG3305	Q9V9S0
CG2201	Q9V9R4
Df31	O16043
cul-2	Q9V9R2
CG2225	Q59DT1
Ef2b	P13060
step	Q9V9Q6
CG1416	Q9V9Q4
CG3651	Q9V9N9
CycK	Q961D1
CG6448	Q9V9N7
CG1832	Q9V9N4
CG3262	Q9V9M8
RpL21	Q9V9M7
Tif-IA	Q9V9M6
RpL5	Q9W5R8
CG17493	M9PGG8
CG17494	Q9W5R5
CG40439	Q7PL72
CG17715	Q5LJR0
lt	Q7PL76
Spf45	Q7PL81
CG12567	D2A6J2
CG40042	Q8MRW1
CG17683	Q8SYS7
CG40127	Q8MSF5
RpL38	Q9W5N2
p120ctn	Q9NHP1
CG17486	Q5LJP9
CG17883	Q9W5H8
CG17082	Q8T0G4
CG12547	Q9W5T4
CG17528	Q7PLI7
CG3107	Q9V9E3
gus	A1Z6E0
d4	Q7K3G5
