CSNK1A1	P48729
PFDN1	O60925
SPG11	Q96JI7
EIF3J	O75822
TRIP4	Q15650
RAB11A	P62491
FAF2	Q96CS3
RBM25	P49756
SPAG9	O60271
PTGES3	Q15185
EIF4B	P23588
COPZ1	P61923
NUP153	P49790
WDR59	Q6PJI9
DNAJB6	O75190
RHEB	Q15382
PSMB1	P20618
TRAM1	Q9Y6Q9
TMED2	Q15363
YY1	P25490
ELOB	Q15370
TELO2	Q9Y4R8
CREBBP	Q92793
MGRN1	O60291
N4BP1	O75113
WSB1	Q9Y6I7
ERP44	Q9BS26
RNF167	Q9H6Y7
CSNK2A2	P19784
SETD1A	O15047
ZC3H3	Q8IXZ2
RPL8	P62917
RBM42	Q9BTD8
IMPAD1	Q9NX62
RAB2A	P61019
ELL	P55199
COPE	O14579
MAU2	Q9Y6X3
ATRN	O75882
ARPC1A	Q92747
MYDGF	Q969H8
MAP2K2	P36507
YJU2	Q9BW85
PIAS4	Q8N2W9
ZNF330	Q9Y3S2
MAPK3	P27361
SMARCB1	Q12824
CAPZA1	P52907
UBE2R2	Q712K3
ACTR3	P61158
DDX18	Q9NVP1
ARFGAP3	Q9NP61
PACSIN2	Q9UNF0
DESI1	Q6ICB0
AP2S1	P53680
STRN4	Q9NRL3
CLNS1A	P54105
TCF25	Q9BQ70
NAPA	O96009
BRD4	O60885
FAM32A	Q9Y421
PPP1R12C	Q9BZL4
VPS26A	O75436
CD81	P60033
PNO1	Q9NRX1
SPCS2	Q15005
DNAJC8	O75937
FAM20B	O75063
FNBP4	Q8N3X1
NDUFS3	O75489
CHMP2B	Q9UQN3
OSBP	P22059
CHMP3	Q9Y3E7
USE1	Q9NZ43
GTF3C3	Q9Y5Q9
COQ10B	Q9H8M1
ARCN1	P48444
HAT1	O14929
RAB3GAP1	Q15042
DARS	P14868
MUL1	Q969V5
TXNDC9	O14530
RPL31	P62899
NOP58	Q9Y2X3
YWHAE	P62258
COPS4	Q9BT78
RAPGEF2	Q9Y4G8
SLC30A9	Q6PML9
PHRF1	Q9P1Y6
PSMD3	O43242
CASC3	O15234
STAT3	P40763
PDCD6	O75340
GRPEL1	Q9HAV7
LMAN2L	Q9H0V9
CDV3	Q9UKY7
MRPL3	P09001
DNAJB11	Q9UBS4
SSR3	Q9UNL2
RAB7A	P51149
GOLPH3	Q9H4A6
SUB1	P53999
ATP6V0E1	O15342
SEC24B	O95487
PAIP2	Q9BPZ3
LSG1	Q9H089
UBE2B	P63146
AFF4	Q9UHB7
TAX1BP1	Q86VP1
PRDX5	P30044
PRKAR2A	P13861
BUD23	O43709
GET4	Q7L5D6
HNRNPH3	P31942
SNX19	Q92543
TMEM115	Q12893
GNAI2	P04899
GID8	Q9NWU2
PRPF6	O94906
ZCRB1	Q8TBF4
SNRPF	P62306
C12orf10	Q9HB07
TMBIM6	P55061
ANKRD52	Q8NB46
SETD1B	Q9UPS6
VPS37B	Q9H9H4
ANKRD10	Q9NXR5
NOP9	Q86U38
EMC4	Q5J8M3
MFAP1	P55081
SRP14	P37108
FURIN	P09958
SEC11A	P67812
DHX38	Q92620
MAP1LC3B	Q9GZQ8
NDUFB10	O96000
SPG7	Q9UQ90
MED9	Q9NWA0
NOB1	Q9ULX3
G6PC3	Q9BUM1
AFG3L2	Q9Y4W6
SLC39A6	Q13433
GALNT1	Q10472
ARHGDIA	P52565
EIF4A3	P38919
FN3KRP	Q9HA64
SH3GL1	Q99961
CCDC97	Q96F63
SOD1	P00441
SCYL1	Q96KG9
EPN1	Q9Y6I3
ECSIT	Q9BQ95
PSMB6	P28072
RPS11	P62280
MPC2	O95563
PRCC	Q92733
SF3B4	Q15427
ENSA	O43768
EIF2D	P41214
JTB	O76095
ACP1	P24666
ACP1	P24666
ARF1	P84077
ARL8A	Q96BM9
PDIA6	Q15084
RPL21	P46778
RPS27A	P62979
SNRPG	P62308
MRPS5	P82675
TEX261	Q6UWH6
DUSP11	O75319
UBE2F	Q969M7
RAB5A	P20339
CTDSP1	Q9GZU7
DYNC1LI1	Q9Y6G9
SEC22C	Q9BRL7
SLC25A38	Q96DW6
IQSEC1	Q6DN90
RPL32	P62910
ARL6IP5	O75915
RNF7	Q9UBF6
TCTA	P57738
PYURF	Q96I23
RPS3A	P61247
NDUFS6	O75380
RPL37	P61927
NHP2	Q9NX24
ZMAT2	Q96NC0
HIGD2A	Q9BW72
RNF44	Q7L0R7
MUT	P22033
HMGN3	Q15651
CCT6A	P40227
GIGYF1	O75420
NDUFB11	Q9NX14
NONO	Q15233
ATP6V1B2	P21281
ARMC1	Q9NVT9
MRPS28	Q9Y2Q9
EIF3H	O15372
NDUFB9	Q9Y6M9
BCCIP	Q9P287
HSD17B12	Q53GQ0
SSRP1	Q08945
TMX2	Q9Y320
AASDHPPT	Q9NRN7
LAMTOR1	Q6IAA8
LSM14B	Q9BX40
AIP	O00170
MRPL49	Q13405
FAU	P62861
VPS51	Q9UID3
TAOK2	Q9UL54
DENR	O43583
FAM177A1	Q8N128
NDUFC2	O95298
CDC123	O75794
VPS26B	Q4G0F5
MZT2B	Q6NZ67
ARL14EP	Q8N8R7
USP12	O75317
MED21	Q13503
SRP19	P09132
NUBP1	P53384
